"Character","Windows","UTF"
" ","%20","%20"
"	","%09","%09%C3%BC"
"!","%21","%21"
"""","%22","%22"
"#","%23","%23"
"$","%24","%24"
"%","%25","%25"
"&","%26","%26"
"'","%27","%27"
"(","%28","%28"
")","%29","%29"
"*","%2A","%2A"
"+","%2B","%2B"
",","%2C","%2C"
"-","%2D","%2D"
".","%2E","%2E"
"/","%2F","%2F"
"0","%30","%30"
"1","%31","%31"
"2","%32","%32"
"3","%33","%33"
"4","%34","%34"
"5","%35","%35"
"6","%36","%36"
"7","%37","%37"
"8","%38","%38"
"9","%39","%39"
":","%3A","%3A"
";","%3B","%3B"
"<","%3C","%3C"
"=","%3D","%3D"
">","%3E","%3E"
"?","%3F","%3F"
"@","%40","%40"
"[","%5B","%5B"
"\","%5C","%5C"
"]","%5D","%5D"
"^","%5E","%5E"
"_","%5F","%5F"
"`","%60","%60"
"{","%7B","%7B"
"|","%7C","%7C"
"}","%7D","%7D"
"~","%7E","%7E"
"€","%80","%E2%82%AC"
"","%81","%81"
"‚","%82","%E2%80%9A"
"ƒ","%83","%C6%92"
"„","%84","%E2%80%9E"
"…","%85","%E2%80%A6"
"†","%86","%E2%80%A0"
"‡","%87","%E2%80%A1"
"ˆ","%88","%CB%86"
"‰","%89","%E2%80%B0"
"Š","%8A","%C5%A0"
"‹","%8B","%E2%80%B9"
"Œ","%8C","%C5%92"
"","%8D","%C5%8D"
"Ž","%8E","%C5%BD"
"","%8F","%8F"
"","%90","%C2%90"
"‘","%91","%E2%80%98"
"’","%92","%E2%80%99"
"""","%93","%E2%80%9C"
"""","%94","%E2%80%9D"
"•","%95","%E2%80%A2"
"-","%96","%E2%80%93"
"-","%97","%E2%80%94"
"˜","%98","%CB%9C"
"™","%99","%E2%84"
"š","%9A","%C5%A1"
"›","%9B","%E2%80"
"œ","%9C","%C5%93"
"","%9D","%9D"
"ž","%9E","%C5%BE"
"Ÿ","%9F","%C5%B8"
"¡","%A1","%C2%A1"
"¢","%A2","%C2%A2"
"£","%A3","%C2%A3"
"¤","%A4","%C2%A4"
"¥","%A5","%C2%A5"
"¦","%A6","%C2%A6"
"§","%A7","%C2%A7"
"¨","%A8","%C2%A8"
"©","%A9","%C2%A9"
"ª","%AA","%C2%AA"
"«","%AB","%C2%AB"
"¬","%AC","%C2%AC"
"­","%AD","%C2%AD"
"®","%AE","%C2%AE"
"¯","%AF","%C2%AF"
"°","%B0","%C2%B0"
"±","%B1","%C2%B1"
"²","%B2","%C2%B2"
"³","%B3","%C2%B3"
"´","%B4","%C2%B4"
"µ","%B5","%C2%B5"
"¶","%B6","%C2%B6"
"·","%B7","%C2%B7"
"¸","%B8","%C2%B8"
"¹","%B9","%C2%B9"
"º","%BA","%C2%BA"
"»","%BB","%C2%BB"
"¼","%BC","%C2%BC"
"½","%BD","%C2%BD"
"¾","%BE","%C2%BE"
"¿","%BF","%C2%BF"
"À","%C0","%C3%80"
"Á","%C1","%C3%81"
"Â","%C2","%C3%82"
"Ã","%C3","%C3%83"
"Ä","%C4","%C3%84"
"Å","%C5","%C3%85"
"Æ","%C6","%C3%86"
"Ç","%C7","%C3%87"
"È","%C8","%C3%88"
"É","%C9","%C3%89"
"Ê","%CA","%C3%8A"
"Ë","%CB","%C3%8B"
"Ì","%CC","%C3%8C"
"Í","%CD","%C3%8D"
"Î","%CE","%C3%8E"
"Ï","%CF","%C3%8F"
"Ð","%D0","%C3%90"
"Ñ","%D1","%C3%91"
"Ò","%D2","%C3%92"
"Ó","%D3","%C3%93"
"Ô","%D4","%C3%94"
"Õ","%D5","%C3%95"
"Ö","%D6","%C3%96"
"×","%D7","%C3%97"
"Ø","%D8","%C3%98"
"Ù","%D9","%C3%99"
"Ú","%DA","%C3%9A"
"Û","%DB","%C3%9B"
"Ü","%DC","%C3%9C"
"Ý","%DD","%C3%9D"
"Þ","%DE","%C3%9E"
"ß","%DF","%C3%9F"
"à","%E0","%C3%A0"
"á","%E1","%C3%A1"
"â","%E2","%C3%A2"
"ã","%E3","%C3%A3"
"ä","%E4","%C3%A4"
"å","%E5","%C3%A5"
"æ","%E6","%C3%A6"
"ç","%E7","%C3%A7"
"è","%E8","%C3%A8"
"é","%E9","%C3%A9"
"ê","%EA","%C3%AA"
"ë","%EB","%C3%AB"
"ì","%EC","%C3%AC"
"í","%ED","%C3%AD"
"î","%EE","%C3%AE"
"ï","%EF","%C3%AF"
"ð","%F0","%C3%B0"
"ñ","%F1","%C3%B1"
"ò","%F2","%C3%B2"
"ó","%F3","%C3%B3"
"ô","%F4","%C3%B4"
"õ","%F5","%C3%B5"
"ö","%F6","%C3%B6"
"÷","%F7","%C3%B7"
"ø","%F8","%C3%B8"
"ù","%F9","%C3%B9"
"ú","%FA","%C3%BA"
"û","%FB","%C3%BB"
"ü","%FC","%C3%BC"
"ý","%FD","%C3%BD"
"þ","%FE","%C3%BE"
"ÿ","%FF","%C3%BF"
